N | DATETIME | POS-RAA | POS-DEC | POS-AZ | POS-EL | GIRI-AZ | GIRI-EL | VEL-AZ | VEL-EL
1 | 12h26m02s | 66.47325280337027 | 21.2926 | 212.69884655952163 | 62.29377079177175 | -11914.884655952163 | -102.62292082282511 | 20000000 | 20000000
1 | 12h26m18s | 68.08314719662972 | 21.2926 | 209.81798177926999 | 62.84764615154903 | -11626.798177926998 | -47.23538484509709 | 10310333 | 1982265
2 | 12h26m21s | 68.08323868002543 | 21.3093 | 209.8551874925472 | 62.85884130396578 | -11630.51874925472 | -46.11586960342174 | 20000000 | 20000000
2 | 12h26m37s | 66.47316131997457 | 21.3093 | 212.9816126693931 | 62.25376950428174 | -11943.161266939309 | -106.62304957182596 | 11189170 | 2165492
3 | 12h26m40s | 66.47307029597911 | 21.3259 | 213.01934496626026 | 62.26412172315103 | -11946.934496626027 | -105.58782768489709 | 20000000 | 20000000
3 | 12h26m56s | 68.08332970402088 | 21.3259 | 210.145829103462 | 62.8233336287303 | -11659.5829103462 | -49.66663712696982 | 10284032 | 2001364
4 | 12h26m59s | 68.08342136533646 | 21.3426 | 210.1835538478119 | 62.834376362609085 | -11663.35538478119 | -48.562363739091325 | 20000000 | 20000000
4 | 12h27m15s | 66.47297863466353 | 21.3426 | 213.30211218230409 | 62.223473303609325 | -11975.211218230408 | -109.65266963906743 | 11161015 | 2186362
5 | 12h27m18s | 66.47288688405195 | 21.3593 | 213.33990862359187 | 62.233863101244744 | -11978.990862359187 | -108.61368987552578 | 20000000 | 20000000
5 | 12h27m34s | 68.08351311594805 | 21.3593 | 210.4739964447355 | 62.798367496045266 | -11692.39964447355 | -52.16325039547337 | 10256819 | 2020306
6 | 12h27m37s | 68.08360440569595 | 21.3759 | 210.5112434543667 | 62.80933390076797 | -11696.12434543667 | -51.06660992320303 | 20000000 | 20000000
6 | 12h27m53s | 66.47279559430405 | 21.3759 | 213.62130448579305 | 62.19274502830084 | -12007.130448579304 | -112.7254971699158 | 11130604 | 2206711
7 | 12h27m56s | 66.47270366549742 | 21.3926 | 213.65909550058478 | 62.203077475831186 | -12010.909550058479 | -111.69225241688127 | 20000000 | 20000000
7 | 12h28m12s | 68.08369633450258 | 21.3926 | 210.8006858854297 | 62.77286676655453 | -11725.068588542968 | -54.71332334454701 | 10229968 | 2039220
8 | 12h28m15s | 68.08378835274347 | 21.4093 | 210.83807134840694 | 62.783858538193556 | -11728.807134840694 | -53.61414618064464 | 20000000 | 20000000
8 | 12h28m31s | 66.47261164725653 | 21.4093 | 213.93980410159045 | 62.161568628568304 | -12038.980410159045 | -115.84313714316977 | 11100798 | 2227114
9 | 12h28m34s | 66.4725200913447 | 21.4259 | 213.9776636840726 | 62.17171779296369 | -12042.766368407261 | -114.8282207036309 | 20000000 | 20000000
9 | 12h28m50s | 68.08387990865529 | 21.4259 | 211.12681795463422 | 62.7467696193529 | -11757.681795463423 | -57.323038064710545 | 10202898 | 2058054
10 | 12h28m53s | 68.08397210536741 | 21.4426 | 211.16438273717918 | 62.75767017738999 | -11761.438273717918 | -56.23298226100087 | 20000000 | 20000000
10 | 12h29m09s | 66.47242789463259 | 21.4426 | 214.25773860265775 | 62.12969772684346 | -12070.773860265776 | -119.03022731565397 | 11070818 | 2247452
11 | 12h29m12s | 66.47233560834744 | 21.4593 | 214.2957261771973 | 62.13987043268324 | -12074.57261771973 | -118.01295673167624 | 20000000 | 20000000
11 | 12h29m28s | 68.08406439165256 | 21.4593 | 211.45259574507043 | 62.720145615221455 | -11790.259574507043 | -59.985438477854586 | 10175286 | 2076748
12 | 12h29m31s | 68.08415621414127 | 21.4759 | 211.49012993073495 | 62.73088624956912 | -11794.012993073495 | -58.911375043088356 | 20000000 | 20000000
12 | 12h29m47s | 66.47224378585872 | 21.4759 | 214.5750240908657 | 62.0972607912572 | -12102.50240908657 | -122.27392087428007 | 11040534 | 2267683
13 | 12h29m50s | 66.47215132082513 | 21.4926 | 214.61304763569515 | 62.10736647692271 | -12106.304763569515 | -121.26335230772929 | 20000000 | 20000000
13 | 12h30m06s | 68.08424867917486 | 21.4926 | 211.77770200939798 | 62.69283895754795 | -11822.770200939798 | -62.716104245205315 | 10147425 | 2095348
14 | 12h30m09s | 68.08434123392078 | 21.5093 | 211.81537947679124 | 62.70360286136649 | -11826.537947679124 | -61.63971386335106 | 20000000 | 20000000
14 | 12h30m25s | 66.47205876607921 | 21.5093 | 214.89174936790474 | 62.06434958748967 | -12134.174936790474 | -125.56504125103265 | 11010027 | 2287825
15 | 12h30m28s | 66.4719666765991 | 21.5259 | 214.92971919951742 | 62.074297239465515 | -12137.971919951742 | -124.57027605344865 | 20000000 | 20000000
15 | 12h30m44s | 68.0844333234009 | 21.5259 | 212.10215473839634 | 62.66495559855286 | -11855.215473839633 | -65.50444014471441 | 10119577 | 2113908
16 | 12h30m48s | 68.08452605717352 | 21.5426 | 212.1398809692802 | 62.67565225634415 | -11858.98809692802 | -64.43477436558487 | 20000000 | 20000000
16 | 12h31m04s | 66.47187394282648 | 21.5426 | 215.20766553438457 | 62.030798934142204 | -12165.766553438458 | -128.92010658577965 | 10979301 | 2307867
17 | 12h31m07s | 66.47178111920175 | 21.5593 | 215.24576062114375 | 62.04076993857058 | -12169.576062114375 | -127.92300614294254 | 20000000 | 20000000
17 | 12h31m23s | 68.08461888079825 | 21.5593 | 212.42607955820475 | 62.636580373501836 | -11887.607955820475 | -68.3419626498162 | 10091363 | 2132347
18 | 12h31m26s | 68.08471123768585 | 21.5759 | 212.463651216372 | 62.647141280570395 | -11891.3651216372 | -67.28587194296051 | 20000000 | 20000000
18 | 12h31m42s | 66.47168876231414 | 21.5759 | 215.52275093051273 | 61.99672611358662 | -12197.275093051272 | -132.32738864133808 | 10948219 | 2327772
19 | 12h31m45s | 66.47159575938345 | 21.5926 | 215.5608901613697 | 62.0066275217197 | -12201.089016136972 | -131.33724782802983 | 20000000 | 20000000
19 | 12h32m01s | 68.08480424061655 | 21.5926 | 212.7492433008501 | 62.60754258709882 | -11919.92433008501 | -71.24574129011808 | 10062609 | 2150616
20 | 12h32m04s | 68.0848973335397 | 21.6093 | 212.78707272526066 | 62.618102795574416 | -11923.707272526066 | -70.18972044255861 | 20000000 | 20000000
20 | 12h32m20s | 66.4715026664603 | 21.6093 | 215.83744287042308 | 61.962144262559704 | -12228.744287042307 | -135.78557374402953 | 10916976 | 2347611
21 | 12h32m23s | 66.47141004174762 | 21.6259 | 215.87539776696386 | 61.97191682402747 | -12232.539776696385 | -134.80831759725334 | 20000000 | 20000000
21 | 12h32m39s | 68.08498995825238 | 21.6259 | 213.07174680832247 | 62.57793207681573 | -11952.174680832248 | -74.20679231842723 | 10033993 | 2168869
22 | 12h32m42s | 68.08508323076182 | 21.6426 | 213.10962228616276 | 62.588424754483434 | -11955.962228616276 | -73.15752455165648 | 20000000 | 20000000
22 | 12h32m58s | 66.47131676923817 | 21.6426 | 216.15117008112583 | 61.92696214440394 | -12260.117008112582 | -139.30378555960624 | 10885402 | 2367310
23 | 12h33m01s | 66.47122340659547 | 21.6593 | 216.18936181535307 | 61.93673165428542 | -12263.936181535306 | -138.32683457145822 | 20000000 | 20000000
23 | 12h33m17s | 68.08517659340453 | 21.6593 | 213.39375869189763 | 62.54782432443537 | -11984.375869189764 | -77.21756755646311 | 10005190 | 2187040
24 | 12h33m20s | 68.08526948636145 | 21.6759 | 213.4315886633023 | 62.558158478911444 | -11988.15886633023 | -76.18415210885541 | 20000000 | 20000000
24 | 12h33m36s | 66.47113051363854 | 21.6759 | 216.46427145586645 | 61.89121450065 | -12291.427145586646 | -142.87854993499968 | 10853675 | 2386927
25 | 12h33m39s | 66.47103697112817 | 21.6926 | 216.50248561920293 | 61.900918588021405 | -12295.248561920293 | -141.90814119785955 | 20000000 | 20000000
25 | 12h33m55s | 68.08536302887183 | 21.6926 | 213.71501253079785 | 62.517055765824985 | -12016.501253079785 | -80.29442341750155 | 9976093 | 2205094
26 | 12h33m58s | 68.08545666165682 | 21.7093 | 213.75297681577285 | 62.527413162482176 | -12020.297681577285 | -79.25868375178243 | 20000000 | 20000000
26 | 12h34m14s | 66.47094333834318 | 21.7093 | 216.7767837681451 | 61.85500498701488 | -12322.678376814509 | -146.49950129851186 | 10821909 | 2406483
27 | 12h34m17s | 66.47085017672131 | 21.7259 | 216.81566290381525 | 61.86437931617827 | -12326.566290381525 | -145.56206838217258 | 20000000 | 20000000
27 | 12h34m33s | 68.08554982327868 | 21.7259 | 214.03648094221964 | 62.48553000417031 | -12048.648094221964 | -83.44699958296906 | 9946420 | 2223037
28 | 12h34m36s | 68.08564363621375 | 21.7426 | 214.074492502689 | 62.49581849694072 | -12052.449250268899 | -82.41815030592807 | 20000000 | 20000000
28 | 12h34m52s | 66.47075636378625 | 21.7426 | 217.08921159288687 | 61.817989520791045 | -12353.921159288688 | -150.2010479208957 | 10789385 | 2425883
29 | 12h34m55s | 66.47066246043467 | 21.7593 | 217.12748788519514 | 61.82755773531392 | -12357.748788519513 | -149.2442264686083 | 20000000 | 20000000
29 | 12h35m11s | 68.08573753956533 | 21.7593 | 214.35654227635135 | 62.453701606246 | -12080.654227635136 | -86.62983937540002 | 9916943 | 2240907
30 | 12h35m14s | 68.0858309702744 | 21.7759 | 214.39451178605745 | 62.46382993042177 | -12084.451178605745 | -85.61700695782338 | 20000000 | 20000000
30 | 12h35m30s | 66.4705690297256 | 21.7759 | 217.40018303400518 | 61.78060759867369 | -12385.018303400519 | -153.93924013263086 | 10757003 | 2445186
31 | 12h35m33s | 66.47047494594051 | 21.7926 | 217.43848229279735 | 61.79010947021625 | -12388.848229279734 | -152.98905297837473 | 20000000 | 20000000
31 | 12h35m49s | 68.08592505405949 | 21.7926 | 214.67579844748073 | 62.42122486919734 | -12112.579844748074 | -89.877513080266 | 9887375 | 2258700
32 | 12h35m52s | 68.0860192284035 | 21.8093 | 214.7138927620038 | 62.43137746873133 | -12116.389276200382 | -88.86225312686747 | 20000000 | 20000000
32 | 12h36m08s | 66.4703807715965 | 21.8093 | 217.71044855052966 | 61.7427952008914 | -12416.044855052965 | -157.72047991085992 | 10724380 | 2464368
33 | 12h36m11s | 66.47028707137638 | 21.8259 | 217.7486703768724 | 61.75214245671189 | -12419.867037687241 | -156.78575432881144 | 20000000 | 20000000
33 | 12h36m28s | 68.08611292862362 | 21.8259 | 214.99441174038694 | 62.38817590047719 | -12144.441174038693 | -93.18240995228143 | 9857222 | 2276301
34 | 12h36m31s | 68.08620728368564 | 21.8426 | 215.03254175968726 | 62.398261313104825 | -12148.254175968726 | -92.17386868951735 | 20000000 | 20000000
34 | 12h36m47s | 66.47019271631436 | 21.8426 | 218.01991626837665 | 61.704351113071056 | -12446.991626837666 | -161.56488869289433 | 10691521 | 2483436
35 | 12h36m50s | 66.47009827055047 | 21.8593 | 218.05814612648038 | 61.71374801888242 | -12450.814612648039 | -160.62519811175798 | 20000000 | 20000000
35 | 12h37m06s | 68.08630172944953 | 21.8593 | 215.31223121968665 | 62.35469988424632 | -12176.223121968666 | -96.53001157536755 | 9827361 | 2293904
36 | 12h37m09s | 68.08639569960607 | 21.8759 | 215.35019312742966 | 62.36465236011455 | -12180.019312742967 | -95.53476398854536 | 20000000 | 20000000
36 | 12h37m25s | 66.47000430039392 | 21.8759 | 218.32836536355603 | 61.665444385018006 | -12477.836536355604 | -165.4555614981996 | 10658587 | 2502397
37 | 12h37m28s | 66.46990967362647 | 21.8926 | 218.36672411045984 | 61.67474808818652 | -12481.672411045984 | -164.52519118134796 | 20000000 | 20000000
37 | 12h37m44s | 68.08649032637352 | 21.8926 | 215.62932247892016 | 62.32056189651022 | -12207.932247892017 | -99.94381034897788 | 9796893 | 2311304
38 | 12h37m47s | 68.0865850439863 | 21.9093 | 215.6675214104321 | 62.33051266928715 | -12211.752141043211 | -98.94873307128455 | 20000000 | 20000000
38 | 12h38m03s | 66.46981495601369 | 21.9093 | 218.63641702396149 | 61.62603515884307 | -12508.641702396148 | -169.3964841156935 | 10625387 | 2521256
39 | 12h38m06s | 66.46972071549374 | 21.9259 | 218.6747022048684 | 61.63518260091511 | -12512.47022048684 | -168.4817399084891 | 20000000 | 20000000
39 | 12h38m22s | 68.08667928450626 | 21.9259 | 215.94581072719103 | 62.28584529901144 | -12239.581072719104 | -103.41547009885562 | 9766436 | 2328658
40 | 12h38m25s | 68.0867741834092 | 21.9426 | 215.98405171897437 | 62.29572653753214 | -12243.405171897437 | -102.42734624678587 | 20000000 | 20000000
40 | 12h38m41s | 66.46962581659079 | 21.9426 | 218.94360884132217 | 61.58601350100187 | -12539.360884132217 | -173.39864989981288 | 10591965 | 2539993
41 | 12h38m44s | 66.4695308266985 | 21.9593 | 218.98200422501932 | 61.595184562904144 | -12543.200422501934 | -172.48154370958537 | 20000000 | 20000000
41 | 12h39m00s | 68.0868691733015 | 21.9593 | 216.2616188861419 | 62.250679664542766 | -12271.16188861419 | -106.93203354572324 | 9735993 | 2345952
42 | 12h39m03s | 68.08696368461341 | 21.9759 | 216.2997992549986 | 62.26040311395743 | -12274.97992549986 | -105.95968860425683 | 20000000 | 20000000
42 | 12h39m19s | 66.46943631538659 | 21.9759 | 219.24999795382465 | 61.54547987119307 | -12569.999795382464 | -177.45201288069256 | 10558473 | 2558640
43 | 12h39m22s | 66.46934114391648 | 21.9926 | 219.28841761813354 | 61.554582719376434 | -12573.841761813354 | -176.54172806235647 | 20000000 | 20000000
43 | 12h39m38s | 68.08705885608352 | 21.9926 | 216.57669247123923 | 62.214855453016156 | -12302.669247123922 | -110.51445469838427 | 9704999 | 2363051
44 | 12h39m41s | 68.0871541186875 | 22.0093 | 216.6156879139072 | 62.22444028946709 | -12306.56879139072 | -109.55597105329116 | 20000000 | 20000000
44 | 12h39m57s | 66.4692458813125 | 22.0093 | 219.5564752381357 | 61.504318625433285 | -12600.647523813572 | -181.5681374566716 | 10524790 | 2577245
45 | 12h40m00s | 66.46915109877848 | 22.0259 | 219.59479662117133 | 61.51327076382865 | -12604.479662117134 | -180.67292361713498 | 20000000 | 20000000
45 | 12h40m16s | 68.08724890122151 | 22.0259 | 216.89175623579735 | 62.178314536241835 | -12334.175623579735 | -114.16854637581628 | 9673917 | 2380126
46 | 12h40m19s | 68.08734434569203 | 22.0426 | 216.93007821287966 | 62.187995687356384 | -12338.007821287967 | -113.20043126436167 | 20000000 | 20000000
46 | 12h40m35s | 66.46905565430797 | 22.0426 | 219.86127029152937 | 61.462761201408036 | -12631.127029152936 | -185.7238798591966 | 10490450 | 2595543
47 | 12h40m38s | 66.4689601185585 | 22.0593 | 219.8996997777423 | 61.47173681127349 | -12634.969977774232 | -184.82631887265143 | 20000000 | 20000000
47 | 12h40m54s | 68.0874398814415 | 22.0593 | 217.20535136236367 | 62.14151213523178 | -12365.535136236367 | -117.84878647682217 | 9642809 | 2397060
48 | 12h40m57s | 68.08753493562935 | 22.0759 | 217.2436040398195 | 62.151036835602895 | -12369.360403981951 | -116.89631643971052 | 20000000 | 20000000
48 | 12h41m13s | 66.46886506437065 | 22.0759 | 220.16540559511077 | 61.42065912623304 | -12661.540559511079 | -189.93408737669597 | 10456842 | 2613950
49 | 12h41m16s | 66.46876934646484 | 22.0926 | 220.2038506252942 | 61.429568110787976 | -12665.385062529418 | -189.04318892120227 | 20000000 | 20000000
49 | 12h41m32s | 68.08763065353516 | 22.0926 | 217.51824072592433 | 62.10404717426015 | -12396.824072592433 | -121.5952825739846 | 9611535 | 2413894
50 | 12h41m36s | 68.0877264628655 | 22.1093 | 217.5566235843903 | 62.113592140977154 | -12400.66235843903 | -120.64078590228473 | 20000000 | 20000000
50 | 12h41m52s | 66.46867353713449 | 22.1093 | 220.46886928637954 | 61.37813075935472 | -12691.886928637956 | -194.18692406452828 | 10422642 | 2632144
51 | 12h41m55s | 66.4685782108595 | 22.1259 | 220.50717235061904 | 61.38690048518012 | -12695.717235061904 | -193.3099514819878 | 20000000 | 20000000
51 | 12h42m11s | 68.08782178914049 | 22.1259 | 217.8303243269977 | 62.06605696550451 | -12428.032432699769 | -125.39430344954917 | 9580177 | 2430634
52 | 12h42m14s | 68.08791778091805 | 22.1426 | 217.86873502609987 | 62.0755340759586 | -12431.873502609986 | -124.44659240414012 | 20000000 | 20000000
52 | 12h42m30s | 66.46848221908195 | 22.1426 | 220.77137090459027 | 61.33502642282528 | -12722.137090459026 | -198.4973577174719 | 10388250 | 2650204
53 | 12h42m33s | 66.46838613573371 | 22.1593 | 220.80983185188208 | 61.34380561510812 | -12725.983185188208 | -197.61943848918827 | 20000000 | 20000000
53 | 12h42m49s | 68.08801386426629 | 22.1593 | 218.14178633432232 | 62.027610898087026 | -12459.178633432231 | -129.23891019129724 | 9548674 | 2447272
54 | 12h42m52s | 68.08810946306336 | 22.1759 | 218.18010520159197 | 62.036936405462384 | -12463.010520159198 | -128.30635945376162 | 20000000 | 20000000
54 | 12h43m08s | 66.46829053693664 | 22.1759 | 221.07311668232336 | 61.291407244850085 | -12752.311668232334 | -202.85927551499162 | 10353805 | 2668176
55 | 12h43m11s | 66.46819427084925 | 22.1926 | 221.1115850661707 | 61.30012141107126 | -12756.15850661707 | -201.9878588928741 | 20000000 | 20000000
55 | 12h43m27s | 68.08820572915074 | 22.1926 | 218.452361075176 | 61.98854967202451 | -12490.236107517598 | -133.145032797549 | 9517102 | 2463817
56 | 12h43m30s | 68.08830208695548 | 22.2093 | 218.49079801042714 | 61.99789764677253 | -12494.079801042713 | -132.21023532274694 | 20000000 | 20000000
56 | 12h43m46s | 66.46809791304452 | 22.2093 | 221.37414134172067 | 61.24738032636895 | -12782.414134172068 | -207.2619673631052 | 10319204 | 2686028
57 | 12h43m49s | 66.46800204128886 | 22.2259 | 221.41251428690225 | 61.255942387787556 | -12786.251428690226 | -206.40576122124457 | 20000000 | 20000000
57 | 12h44m05s | 68.08839795871114 | 22.2259 | 218.762158799751 | 61.94896068500106 | -12521.215879975101 | -137.10393149989386 | 9485363 | 2480244
58 | 12h44m08s | 68.08849449954805 | 22.2426 | 218.8006166502192 | 61.95824188208699 | -12525.06166502192 | -136.17581179130138 | 20000000 | 20000000
58 | 12h44m24s | 66.46790550045195 | 22.2426 | 221.67422888389905 | 61.20277663643752 | -12812.422888389905 | -211.72233635624798 | 10284377 | 2703736
59 | 12h44m27s | 66.46780886775048 | 22.2593 | 221.7127038141366 | 61.21136256727432 | -12816.270381413662 | -210.86374327256772 | 20000000 | 20000000
59 | 12h44m43s | 68.08859113224952 | 22.2593 | 219.07122671705633 | 61.908947064130594 | -12552.122671705634 | -141.10529358694066 | 9453588 | 2496586
60 | 12h44m46s | 68.08868727740192 | 22.2759 | 219.1096014124247 | 61.918074090304074 | -12555.96014124247 | -140.1925909695924 | 20000000 | 20000000
60 | 12h45m02s | 66.46771272259808 | 22.2759 | 221.97350377875208 | 61.15767913680545 | -12842.35037787521 | -216.232086319455 | 10249626 | 2721379
61 | 12h45m05s | 66.46761590657033 | 22.2926 | 222.0119815123581 | 61.16620085155789 | -12846.19815123581 | -215.37991484421127 | 20000000 | 20000000
61 | 12h45m21s | 68.08878409342967 | 22.2926 | 219.37945815274978 | 61.86831036992818 | -12582.94581527498 | -145.1689630071819 | 9421544 | 2512781
